dataset,error_model,rate,pr_pearson,pr_spearman,pr_topk100
BANC,missed_synapses,2.0,0.9997278138468098,0.9997663553592304,0.986
BANC,missed_synapses,5.0,0.9993102602340118,0.9993914855523185,0.9800000000000001
FAFB,missed_synapses,0.25,0.9999970277062251,0.9999903601780351,0.9960000000000001
FAFB,missed_synapses,0.5,0.9999952785563162,0.9999807843162151,0.994
FAFB,missed_synapses,0.75,0.9999865295390892,0.9999708633375937,0.9960000000000001
FAFB,missed_synapses,0.0,0.9999999999999993,0.9999999999999721,1.0
FAFB,missed_synapses,10.0,0.9997761586517985,0.9995691639525734,0.986
FAFB,missed_synapses,15.0,0.9996820625223732,0.9993117649507608,0.9879999999999999
FAFB,missed_synapses,1.0,0.9999815315517964,0.9999609274928971,0.994
FAFB,missed_synapses,20.0,0.9995539759227217,0.9990283214266042,0.9800000000000001
FAFB,missed_synapses,2.0,0.9999634122138488,0.9999213662129206,0.992
FAFB,missed_synapses,5.0,0.9999021872469422,0.999795974693211,0.9960000000000001
MANC,missed_synapses,0.25,0.9999852988703068,0.9999606816839381,0.9960000000000001
MANC,missed_synapses,0.5,0.9999735915875757,0.9999341119830684,0.994
MANC,missed_synapses,0.75,0.9999599093358608,0.9999073914695927,0.994
MANC,missed_synapses,0.0,1.0,0.9999999999999998,1.0
MANC,missed_synapses,10.0,0.9993021119480037,0.9986408592163633,0.986
MANC,missed_synapses,15.0,0.9989673841722574,0.9981046818768011,0.976
MANC,missed_synapses,1.0,0.999940343978883,0.9998783483841984,0.992
MANC,missed_synapses,20.0,0.9982165825903188,0.997207304615714,0.982
MANC,missed_synapses,2.0,0.9998854096856234,0.9997609898566701,0.994
MANC,missed_synapses,5.0,0.9996722073197176,0.9993748708667326,0.9879999999999999
MCNS,missed_synapses,0.25,0.9999971717977785,0.999990897382564,0.9960000000000001
MCNS,missed_synapses,0.5,0.9999949468727415,0.9999818725527325,0.9960000000000001
MCNS,missed_synapses,0.75,0.9999916047080852,0.9999728300557095,0.9960000000000001
MCNS,missed_synapses,0.0,1.0,1.0,1.0
MCNS,missed_synapses,10.0,0.9998448893818125,0.9995992542714294,0.9879999999999999
MCNS,missed_synapses,15.0,0.9996718919280301,0.9993624509834081,0.9800000000000001
MCNS,missed_synapses,1.0,0.9999904562945133,0.9999636504616133,0.9960000000000001
MCNS,missed_synapses,20.0,0.9995413286630084,0.9990968738593823,0.986
MCNS,missed_synapses,2.0,0.9999758129720021,0.9999265315956759,0.9960000000000001
MCNS,missed_synapses,5.0,0.9999180022702205,0.9998095101198132,0.994
MAOL,missed_synapses,0.25,0.9999903363077962,0.9999314387229697,0.9960000000000001
MAOL,missed_synapses,0.5,0.9999608300690067,0.9998772799713042,0.9960000000000001
MAOL,missed_synapses,0.75,0.9999378787085325,0.9998136340146129,0.9960000000000001
MAOL,missed_synapses,0.0,0.9999999999999998,1.0,1.0
MAOL,missed_synapses,10.0,0.9994603427409979,0.9980906761254046,0.9879999999999999
MAOL,missed_synapses,15.0,0.9989713242911853,0.9969069815615834,0.9719999999999999
MAOL,missed_synapses,1.0,0.9999306457037701,0.999769929780791,0.9960000000000001
MAOL,missed_synapses,20.0,0.9985917726036491,0.9957816100387668,0.982
MAOL,missed_synapses,2.0,0.9998826848316267,0.9995842751039637,0.992
MAOL,missed_synapses,5.0,0.9997474671990407,0.9990317602802676,0.994
BANC,split_errors,0.5,0.999964664272569,0.9992551014918692,0.994
BANC,split_errors,0.0,1.0,0.9999999999998295,1.0
BANC,split_errors,10.0,0.9929098107184953,0.9874362125332521,0.966
BANC,split_errors,15.0,0.9905288563270467,0.9826894053012667,0.96
BANC,split_errors,1.0,0.9998527864783157,0.9985546644282479,0.99
BANC,split_errors,20.0,0.9870098401879609,0.9785877465816437,0.9480000000000001
BANC,split_errors,2.0,0.9993616057512789,0.9971409541579817,0.994
