dataset,error_model,rate,analysis,metric,baseline,value,rel_change_pct,rel_std_pct,n
BANC,merge_errors,0.5,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,merge_errors,0.5,connected_components,metric_wcc_max_size,153952.0,153658.0,-0.19096861359384742,0.0,5
BANC,merge_errors,0.5,connected_components,metric_scc_count,18345.0,18342.2,-0.015263014445348992,0.006356993071513,5
BANC,merge_errors,0.5,connected_components,metric_scc_max_size,139405.0,139114.0,-0.2087443061583157,0.001014464016622858,5
BANC,merge_errors,0.5,reciprocity,metric_reciprocity,0.1299390807959521,0.13008676980238104,0.11366019024012364,0.026811720777991557,5
BANC,merge_errors,1.0,basic_structure,metric_node_count,158262.0,157674.0,-0.3715358077112636,0.0,5
BANC,merge_errors,1.0,basic_structure,metric_edge_count,3990039.0,3972162.2,-0.44803572095410127,0.04456509615017886,5
BANC,merge_errors,1.0,basic_structure,metric_total_synapses,23556214.0,23554939.8,-0.00540918842051297,0.0018968112617839077,5
BANC,merge_errors,1.0,basic_structure,metric_weight_mean,5.903755326702321,5.930005698247625,0.4446385409397837,0.04462232623137987,5
BANC,merge_errors,1.0,basic_structure,metric_weight_variance,89.45748753848277,90.6993551688059,1.3882210025056898,0.1494024068868195,5
BANC,merge_errors,1.0,basic_structure,metric_weight_std,9.45819684392764,9.52361832166473,0.69169080340183,0.07418492225947769,5
BANC,merge_errors,1.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,merge_errors,1.0,basic_structure,metric_density,0.0001593039650148,0.00015977526923826002,0.2958521612542657,0.044898102499168466,5
BANC,merge_errors,1.0,degree_distribution,metric_total_degree_mean,50.42320961443682,50.384492053223745,-0.07678519774748885,0.044731288905712645,5
BANC,merge_errors,1.0,degree_distribution,metric_in_degree_mean,25.21160480721841,25.192246026611873,-0.07678519774748885,0.04473128890571644,5
BANC,merge_errors,1.0,degree_distribution,metric_out_degree_mean,25.21160480721841,25.192246026611873,-0.07678519774748885,0.04473128890571644,5
BANC,merge_errors,1.0,degree_distribution,metric_total_degree_std,111.71935962728317,111.41592606971747,-0.2716033806298284,0.059145595657546256,5
BANC,merge_errors,1.0,degree_distribution,metric_in_degree_max,4707.0,4675.6,-0.6670915657531259,0.2390789020035725,5
BANC,merge_errors,1.0,degree_distribution,metric_out_degree_max,4782.0,4749.4,-0.6817231283981674,0.2640517627380108,5
BANC,merge_errors,1.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.046146326524109126,0.6113703538837602,0.2585789288816877,5
BANC,merge_errors,1.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,merge_errors,1.0,connected_components,metric_wcc_max_size,153952.0,153364.0,-0.38193722718769485,0.0,5
BANC,merge_errors,1.0,connected_components,metric_scc_count,18345.0,18338.6,-0.03488689016081469,0.008158424391984609,5
