experiment_id,analysis_name,status,runtime_seconds,metric_node_count,metric_edge_count,metric_total_synapses,metric_weight_mean,metric_weight_median,metric_weight_variance,metric_weight_std,metric_weight_max,metric_weight_min,metric_density,metric_in_degree_mean,metric_in_degree_median,metric_in_degree_variance,metric_in_degree_std,metric_in_degree_max,metric_in_degree_min,metric_out_degree_mean,metric_out_degree_median,metric_out_degree_variance,metric_out_degree_std,metric_out_degree_max,metric_out_degree_min,metric_total_degree_mean,metric_total_degree_median,metric_total_degree_variance,metric_total_degree_std,metric_total_degree_max,metric_total_degree_min,metric_degree_assortativity,metric_wcc_count,metric_wcc_max_size,metric_scc_count,metric_scc_max_size,metric_reciprocity,dataset,error_model,rate,trial
BANC_20260809T051218Z,reciprocity,SUCCESS,0.1000000799999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129926655359462,BANC,missed_synapses,0.75,4
BANC_20260809T051459Z,basic_structure,SUCCESS,1.216388029999962,158262.0,3986084.0,23378997.0,5.865154121187612,4.0,88.3176707756829,9.39774817579631,909.0,1.0,0.0001591460599964,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,5
BANC_20260809T051459Z,degree_distribution,SUCCESS,0.1582911130003594,,,,,,,,,,,25.1866146011045,9.0,3718.025012475332,60.975609980346505,4700.0,0.0,25.1866146011045,11.0,3355.3449376626795,57.92533934007361,4773.0,0.0,50.373229202209,21.0,12447.602583674436,111.56882442543902,9473.0,0.0,,,,,,,BANC,missed_synapses,0.75,5
BANC_20260809T051459Z,pagerank,SUCCESS,0.7997550340000998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,5
BANC_20260809T051459Z,assortativity,SUCCESS,0.018302267999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465234170410971,,,,,,BANC,missed_synapses,0.75,5
BANC_20260809T051459Z,connected_components,SUCCESS,0.5241367849998824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.75,5
BANC_20260809T051459Z,reciprocity,SUCCESS,0.0945338980000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1298969113546026,BANC,missed_synapses,0.75,5
BANC_20260809T042406Z,basic_structure,SUCCESS,1.22001209900003,158262.0,3990039.0,23556214.0,5.903755326702321,4.0,89.45748753848277,9.45819684392764,913.0,1.0,0.0001593039650148,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.0,1
BANC_20260809T042406Z,degree_distribution,SUCCESS,0.1615119269999922,,,,,,,,,,,25.21160480721841,9.0,3727.29660036276,61.0515896628643,4707.0,0.0,25.21160480721841,11.0,3364.8638496076824,58.00744650135604,4782.0,0.0,50.42320961443682,21.0,12481.215315530224,111.71935962728315,9489.0,0.0,,,,,,,BANC,missed_synapses,0.0,1
BANC_20260809T042406Z,pagerank,SUCCESS,0.8371005120000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.0,1
BANC_20260809T042406Z,assortativity,SUCCESS,0.0183742450000181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464301869222043,,,,,,BANC,missed_synapses,0.0,1
BANC_20260809T042406Z,connected_components,SUCCESS,0.5451536590000501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.0,1
BANC_20260809T042406Z,reciprocity,SUCCESS,0.1001161760000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299390807959521,BANC,missed_synapses,0.0,1
BANC_20260809T042653Z,basic_structure,SUCCESS,1.2210254610000677,158262.0,3990039.0,23556214.0,5.903755326702321,4.0,89.45748753848277,9.45819684392764,913.0,1.0,0.0001593039650148,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.0,2
BANC_20260809T042653Z,degree_distribution,SUCCESS,0.1583651070000087,,,,,,,,,,,25.21160480721841,9.0,3727.29660036276,61.0515896628643,4707.0,0.0,25.21160480721841,11.0,3364.8638496076824,58.00744650135604,4782.0,0.0,50.42320961443682,21.0,12481.215315530224,111.71935962728315,9489.0,0.0,,,,,,,BANC,missed_synapses,0.0,2
BANC_20260809T042653Z,pagerank,SUCCESS,1.058465978000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.0,2
BANC_20260809T042653Z,assortativity,SUCCESS,0.0178252580000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464301869222043,,,,,,BANC,missed_synapses,0.0,2
