dataset,error_model,rate,analysis,metric,mean,std,n
BANC,false_synapses,20.0,basic_structure,metric_total_synapses,25917579.0,1392.9796839868125,5
BANC,false_synapses,20.0,basic_structure,metric_weight_mean,5.412975060604042,0.00029092857358873454,5
BANC,false_synapses,20.0,basic_structure,metric_weight_variance,76.00872176829245,0.0014602104015823847,5
BANC,false_synapses,20.0,basic_structure,metric_weight_std,8.71829810004679,8.374369238007625e-05,5
BANC,false_synapses,20.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,20.0,basic_structure,metric_density,0.0001911647660029,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_total_degree_mean,60.507854064778655,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_in_degree_mean,30.253927032389328,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_out_degree_mean,30.253927032389328,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_total_degree_std,118.10941468975454,0.008711824893892542,5
BANC,false_synapses,20.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,20.0,assortativity,metric_degree_assortativity,-0.031543463118588,3.625291603957874e-05,5
BANC,false_synapses,20.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,20.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,20.0,connected_components,metric_scc_count,17946.2,6.881860213634102,5
BANC,false_synapses,20.0,connected_components,metric_scc_max_size,139956.8,8.47112743381895,5
BANC,false_synapses,20.0,reciprocity,metric_reciprocity,0.13914558482821907,0.00010788758903760082,5
BANC,merge_errors,0.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_edge_count,3990039.0,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_total_synapses,23556214.0,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_weight_mean,5.903755326702321,0.0,5
