dataset,error_model,error_rate,error_rate_percent,analysis_name,metric_name,category,real_n,null_n,real_baseline_mean,null_baseline_mean,real_perturbed_mean,null_perturbed_mean,real_mean_relative_change,real_std_relative_change,null_mean_relative_change,null_std_relative_change,effect_difference,cohens_d,test_name,p_value_raw,p_value_adjusted,is_significant,interpretation
BANC,false_synapses,0.2,20.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,17946.2,16935.6,-0.021738893431452713,0.00041941420685028745,-0.00237983034872758,0.00023041478811977305,-0.01935906308272513,-57.21136391426262,welch_t_test,6.252629417827788e-11,3.9838181719302764e-10,True,"At 20.0% error rate, the secondary change in scc count was significantly less in Real (-2.17%) than Null (-0.24%) (difference = -1.94%, d = -57.21, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.2,20.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139956.8,141327.4,0.0039582511387683365,6.793879985682908e-05,0.00028594279728490007,2.7684935224892695e-05,0.0036723083414834366,70.79079612559076,welch_t_test,3.888593298188553e-10,2.2426456176621914e-09,True,"At 20.0% error rate, the secondary change in scc max size was significantly greater in Real (+0.40%) than Null (+0.03%) (difference = +0.37%, d = 70.79, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.2,20.0%,degree_distribution,out_degree_median,secondary_emergent,5,5,11.0,11.0,12.0,12.0,0.09090909090909091,0.0,0.0909090909090909,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 20.0% error rate, the secondary change in out degree median was significantly greater in Real (+9.09%) than Null (+9.09%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.2,20.0%,degree_distribution,total_degree_median,secondary_emergent,5,5,21.0,21.0,25.0,25.0,0.19047619047619047,0.0,0.1904761904761904,0.0,5.551115123125783e-17,0.0,welch_t_test,0.0,0.0,True,"At 20.0% error rate, the secondary change in total degree median was significantly greater in Real (+19.05%) than Null (+19.05%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.2,20.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.1391455848282191,0.028177083474744465,0.07085246390748512,0.0009282964814699221,6.077153592501958,0.029581574669812927,-6.0063011285944725,-287.0034243373875,welch_t_test,1.3598355659697047e-10,8.423425866979004e-10,True,"At 20.0% error rate, the secondary change in reciprocity was significantly less in Real (+7.09%) than Null (+607.72%) (difference = -600.63%, d = -287.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,merge_errors,0.005,0.5%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,3980860.0,3989627.0,-0.002300478767250145,0.0002950756541149273,-0.00010325713608311447,3.0772212431623415e-05,-0.00219722163116703,-10.473857042366856,welch_t_test,6.698691583105742e-05,0.0001513994820641129,True,"At 0.5% error rate, the secondary change in edge count was significantly less in Real (-0.23%) than Null (-0.01%) (difference = -0.22%, d = -10.47, p_adj = 0.0002). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,merge_errors,0.005,0.5%,basic_structure,node_count,secondary_emergent,5,5,158262.0,158262.0,157968.0,158128.0,-0.0018576790385563182,2.42434975903054e-19,-0.0008466972488658001,1.21217487951527e-19,-0.001010981789690518,0.0,welch_t_test,1.2828918282385708e-92,1.7165092661832076e-91,True,"At 0.5% error rate, the secondary change in node count was significantly less in Real (-0.19%) than Null (-0.08%) (difference = -0.10%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,merge_errors,0.005,0.5%,basic_structure,total_synapses,secondary_emergent,5,5,23556214.0,23556214.0,23555557.0,23556206.8,-2.7890729809128074e-05,1.5526888116143456e-05,-3.0565183352469124e-07,2.589202268577948e-07,-2.7585077975603382e-05,-2.512143334732389,welch_t_test,0.01649251209337044,0.027932887570797024,True,"At 0.5% error rate, the secondary change in total synapses was significantly less in Real (-0.00%) than Null (-0.00%) (difference = -0.00%, d = -2.51, p_adj = 0.0279). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,merge_errors,0.005,0.5%,basic_structure,weight_mean,secondary_emergent,5,5,5.903755326702321,5.903755326702321,5.917203473645283,5.904363194324669,0.0022778970669969237,0.0002917145471215329,0.00010296287510421452,3.084066548043445e-05,0.002174934191892709,10.48550633380784,welch_t_test,6.641010305871065e-05,0.0001506046065975506,True,"At 0.5% error rate, the secondary change in weight mean was significantly greater in Real (+0.23%) than Null (+0.01%) (difference = +0.22%, d = 10.49, p_adj = 0.0002). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,merge_errors,0.005,0.5%,basic_structure,weight_std,secondary_emergent,5,5,9.45819684392764,9.45819684392764,9.489696621293305,9.459148066617814,0.003330420997305512,0.0007478861572883259,0.00010057125114551339,3.54836922526935e-05,0.0032298497461599987,6.100614190241561,welch_t_test,0.0006320463946033151,0.0012363714561099935,True,"At 0.5% error rate, the secondary change in weight std was significantly greater in Real (+0.33%) than Null (+0.01%) (difference = +0.32%, d = 6.10, p_adj = 0.0012). Suggests connectome biological organization significantly shapes this secondary effect."
